,name,address,price_per_night
73,Барракуда на улице Тюленина,"Улица Тюленина 5, Новосибирск",от 3900₽
74,Отель MAXROOMS Купино Сибирия,"улица Советов, д.80А, Купино",от 1946₽
75,Мини-отель Абажур,"Речкуновская зона отдыха, 6/9, Бердск",от 5887₽
76,Yousinn (Юсинн) на улице Ясный Берег,"ул. Ясный Берег, 35, Новосибирск",от 3495₽
77,АлАнт на улице Немировича-Данченко 122/4,"ул. Немировича-Данченко, 122/4, Новосибирск",от 4000₽
78,Жилое Помещение Бородина 56,"улица Бородина, д. 56, Новосибирск",от 1862₽
79,Как дома. Левый берег на Ватутина,"ул. Ватутина, 20, Новосибирск",от 2310₽
80,Room Apart (Рум Апарт) на улице Большевистская 35,"ул. Большевистская, 35, Новосибирск",от 3439₽
81,Спасская (бывш. Юбилейная),"ул. Добролюбова, д.4, Венгерово",от 2289₽
82,Capsule Tolmachevo,"пр-т Можерина, 1В, Обь, Обь",от 1684₽
83,Мини-отель Аркада,"улица Кривощёковская, д. 15, корп. 7, Новосибирск",от 2377₽
84,Апаратменты Обская 46/2,"Обская улица, д.46/2, Новосибирск",от 3962₽
85,Парк-отель «Шишка»,"Voronezhskiy pereulok, 16/1, Новосибирск",от 2293₽
86,Отель Skyport,"проспект Мозжерина, д.8, Обь",от 4473₽
87,Тайга,"​Чаплыгина, 65, Новосибирск",от 1900₽
88,Уютные апартаменты.,"улица Карла Маркса, д. 1/1, Бердск",от 3143₽
89,АлАнт на улице Фрунзе,"ул. Фрунзе, 20, Новосибирск",от 4125₽
90,Спа-отель Крона,"улица Морская, д. 26, Бердск",от 6714₽
91,Гостиничный комплекс Домино,"ул. Титова, д. 184/1, Новосибирск",от 2200₽
92,Отель Гостиница Маршал Новосибирск,"улица Солидарности, д. 72а, Новосибирск",от 2102₽
93,Yousinn (Юсинн) на улице Иванова 15,"ул. Иванова, 13, Новосибирск",от 2388₽
94,Yousinn (Юсинн) на проспекте Красный 188,"пр-кт Красный, 188, Новосибирск",от 3189₽
