,name,uri,address,description,rating,latitude,longitude,restaurant_type,work_time,average_bill,cuisine
1758,Clever,https://www.afisha.ru/novosibirsk/restaurant/clever-34595/,"Морской просп., 54","Clever на Морском проспекте — настоящее место силы в Академгородке, куда ходят все, от студентов до работников научных институтов. Меню похоже на то, что в «Клевере» в центре Новосибирска: ирландские похлебки и рагу, гамбургеры, салаты, стейки и разнообразные закуски к пиву плюс несколько десертов. В барной карте — европейская пивная классика, крепкий алкоголь и большой выбор коктейлей.  В пабе регулярно проходят концерты, летом работает веранда, рядом с которой иногда устраиваются разные мероприятия, например, файер-шоу.",8.0,54.8351776,83.0972174,Ресторан,пн-вс 12.00–3.00,700–1700 рублей,"Английская кухня, Европейская кухня"
1759,Коляда,https://www.afisha.ru/novosibirsk/restaurant/koliada-15808/,"Жуковского, 123",,8.0,55.0569604,82.8924552,Ресторан,пн-вс 10.00–23.00,700–1700 рублей,"Пельмени, Пироги, Русская кухня"
1760,Friends,https://www.afisha.ru/novosibirsk/restaurant/friends-37604/,"Красный просп., 22","Этот коктейльный бар первым въехал в здание бывшей типографии на Красном, 22, которое с тех пор превратилось в один из главных гастрономических центров города. Стены украшают старые печатные пластины, найденные во время ремонта, и гипсовая карта мира, куда посетители приклеивают билеты из дальних поездок в обмен на коктейли. Но главное украшение Friends — огромная барная стойка в центре зала, за которой разговорчивые бармены в бабочках демонстрируют чудеса миксологии. Коктейльная карта из сотни с лишним позиций регулярно пополняется авторскими рецептами, с которыми здешние бартендеры участвуют в международных конкурсах. Отдельная гордость — настойки собственного приготовления. Время от времени в баре устраивают концерты и мастер-классы. По пятницам и субботам — танцы и пунш рекой.",7.7139,55.022901,82.923012,Ресторан,"пн-чт, вс 18.00–3.00, пт-сб 18.00–6.00",700–1700 рублей,"Европейская кухня, Паста, Сэндвичи"
1761,Park Café,https://www.afisha.ru/novosibirsk/restaurant/park-cafe-45067/,"Красный просп., 25/1, 1 этаж","В окружении заведений с пиццей и суши, населяющих проулок на краю Первомайского сквера, Park Café заметно выделяется строгим интерьером, вышколенными официантами и высокими ценами. Кухня здесь преимущественно европейская (паста, французский луковый суп, котлеты из кролика с соусом фуа-гра) и русская (винегрет, драники, уха из стерляди с рюмкой водки), но не без обязательных азиатских элементов вроде пад-тая и том-яма. Меню отличается разнообразием горячих блюд и десертов, барная карта — выбором вин и коктейлей. Есть детское меню. Днем здесь кипит работа: бизнес-ланч за ноутбуками и деловые встречи на фоне парковой зелени за стеклянными стенами. По вечерам звучащий из динамиков лаунж, полумрак зала, мягкие диваны и огромные люстры-шары привлекают одновременно большие компании и парочки. В пятницу и субботу в кафе играют диджеи.",7.2,55.029187,82.918738,Ресторан,"пн-чт 8.00–23.00, пт 8.00–0.00, сб 9.00–0.00, вс 9.00–23.00",700–1700 рублей,"Европейская кухня, Устрицы"
1762,Ruby Aperitifs and Wines,https://www.afisha.ru/novosibirsk/restaurant/ruby-aperitifs-and-wines-60059/,"Ленина, 9","В Ruby все — от меню до интерьера — подчинено идее создать место для тех, кто любит пить вино и говорить про вино. Владельцы позиционируют свое детище как не просто винный, а винно-аперитивный бар с бутилированными коктейлями. Винная карта здесь выверенная и понятная — в ней всего 50-60 позиций; в течение нескольких месяцев команда Ruby отбирала их из примерно 14 000 вин от поставщиков со всего света. Вся еда здесь wine friendly, а все вино — гастрономичное.",7.0,55.029208,82.9136089,Ресторан,"пн-чт 16.00–1.00, пт 16.00–2.00, сб 13.00–2.00, вс 13.00–1.00",700–1700 рублей,"Европейская кухня, Устрицы"
1763,Кардамон,https://www.afisha.ru/novosibirsk/restaurant/kardamon-27258/,"Чаплыгина, 39","«Кардамон» открылся несколько лет назад при магазинчике этнических товаров «Коллекция пустяков». Тут три небольших зала, оформленных в ближневосточном стиле, крохотная кальянная комната, а летом — еще и шатер в тихой зеленой зоне. Еда преимущественно вегетарианская: свеольник, чечевичный суп, салат с нутом и брокколи, рис с дареными бананами. Для мясоедов есть пара блюд из птицы и баранина. Но в основном в «Кардамон» заходят не перекусить, а посидеть с кальяном и кофе по-турецки — благо обстановка располагает.",6.8571,55.0258538,82.9154687,Кофейня,пн-вс 10.00–23.00,700–1700 рублей,"Арабская кухня, Европейская кухня, Индийская кухня, Турецкая кухня"
1764,Shisha,https://www.afisha.ru/novosibirsk/restaurant/shisha-30500/,"Красный просп., 28, 1 этаж",,6.6664,55.0254454,82.9222941,Ресторан,"пн-чт, вс 12.00–4.00, пт-сб 12.00–6.00",700–1700 рублей,"Европейская кухня, Паровые коктейли, Турецкая кухня, Узбекская кухня"
1765,Capriccio,https://www.afisha.ru/novosibirsk/restaurant/capriccio-35772/,"Ленина, 10, ТЦ «Пассаж», 1 этаж","Спрятанное в пассаже Универсама кафе Capriccio вообще одно из лучших итальянских заведений в городе, а то, что оно работает круглосуточно, повышает его рейтинг сразу вдвое. Два маленьких зала напоминают по интерьеру уютную террасу и более строгий средневековый замок. Тяжелая деревянная мебель, каменные и мозаичные стены, свечи, разноцветные портьеры, скрывающие от глаза посетителя неприглядное торговое пространство за окнами. Меню — исключительно итальянское, и главное здесь — несколько десятков видов пиццы из дровяной печи. Впрочем, паста, ризотто и другие блюда тоже хороши, а официантам вполне можно довериться в выборе. В винной карте много итальянских вин, но есть и напитки из других регионов. В барном меню стоит обратить внимание на граппу и несколько итальянских ликеров. Отличный кофе.",6.4,55.0300238,82.9143142,Ресторан,"пн-чт, вс 12.00–0.00, пт-сб 12.00–1.00",700–1700 рублей,"Итальянская кухня, Паста, Пицца"
1766,Pub 501,https://www.afisha.ru/novosibirsk/restaurant/pub-501-87546/,"Ленина, 20","«Пятьсот первый» работает с конца девяностых и представляет собой воплощение стабильности. Интерьер и персонал здесь не меняются годами, благодаря чему и публика в основном постоянная. К меню это, впрочем, не относится: кроме всевозможного мяса на гриле и внушительных пивных тарелок для большой компании регулярно появляются сезонные обновления супов, салатов и закусок. Паб дотошно оформлен в американском стиле: бармены в ковбойских шляпах, тематические названия блюд, рок-н-ролл из колонок и живьем — по пятницам и субботам (с обязательными танцами). В барной карте не только виски, но и разнообразие винных позиций, что редко встретишь в пабе. Выбор пива вообще ничем не ограничен: стандартный набор ирландских и чешских сортов в духе времени пополнили IPA и овсяный стаут на кранах и в бутылках, так что назвать «501» консервативным заведением никак нельзя.",6.4,55.0293902,82.9106853,Ресторан,пн-вс 11.00–23.00,700–1700 рублей,"Американская кухня, Вок, Европейская кухня, Паста, Стейки"
1767,Puppen Haus,https://www.afisha.ru/novosibirsk/restaurant/puppen-haus-33524/,"Чаплыгина, 65/1","Puppen Haus ресторатора Владимира Бурковского расположился в четырехэтажном особнячке, оформленном в пестром модернистском стиле Гауди и Хундертвассера. Чтобы попасть сюда, нужно позвонить в дверь. Внутри «Кукольный дом» буквально напичкан антиквариатом, картинами, старинной мебелью, марионетками — глаза разбегаются. Подача блюд старательно театрализована: каждая тарелка похожа на шоколадное яйцо, где лакомство — только после сюрприза (один из популярных фокусов — действительно с яйцом, которое гость должен разбить, чтобы получить заправку для салата). За кухню отвечает Георгий Белянкин, победитель международных кулинарных конкурсов, который успел дать обед в Кремле для Владимира Путина и Ангелы Меркель. Его блюда сочетают европейскую классику и сибирские деликатесы, а о том, откуда и как доставляются продукты, здесь рассказывают часами. Винная карта тоже вполне себе предмет гордости: кроме вин со всего света Puppen Haus располагает солидной коллекцией портвейнов и хересов.",6.4,55.0260966,82.9205337,Ресторан,пн-вс 12.00–0.00,700–1700 рублей,Европейская кухня
