,Unnamed: 0.1,name,address,description
33,33,Апарт-отель Неорелакс Апарт,"улица Чаплыгина 48, Новосибирск","Апарт-отель Неорелакс Апарт по адресу улица Чаплыгина 48, Новосибирск. Минимальная стоимость в отеле 'Апарт-отель Неорелакс Апарт' за ночь: от 1732₽"
34,34,Отель Happy Family,"улица Артиллерийская, д.19, Новосибирск","Отель Happy Family по адресу улица Артиллерийская, д.19, Октябрьский район, Новосибирск. Минимальная стоимость в отеле 'Отель Happy Family' за ночь: от 3406₽"
35,35,Отель Сити Отель,"улица Блюхера, д. 77, Новосибирск","Отель Сити Отель по адресу улица Блюхера, д. 77, Ленинский район, Новосибирск. Минимальная стоимость в отеле 'Отель Сити Отель' за ночь: от 3342₽"
36,36,Отель Park Wood Академгородок,"улица Арбузова, д.6/2, Новосибирск","Отель Park Wood Академгородок по адресу улица Арбузова, д.6/2, Советский район, Новосибирск. Минимальная стоимость в отеле 'Отель Park Wood Академгородок' за ночь: от 5773₽"
37,37,Хостел «Планета»,"ул. Владимировская, 4, Новосибирск","Хостел «Планета» по адресу ул. Владимировская, 4, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Хостел «Планета»' за ночь: от 2260₽"
38,38,Хостел Роял,"улица Дуси Ковальчук, д.260/2, Новосибирск","Хостел Роял по адресу улица Дуси Ковальчук, д.260/2, Железнодорожный, Заельцовский, Калининский район, Новосибирск. Минимальная стоимость в отеле 'Хостел Роял' за ночь: от 1386₽"
39,39,Гостевой Дом Sky Lounge guesthouse,"улица Кропоткина 273, Новосибирск","Гостевой Дом Sky Lounge guesthouse по адресу улица Кропоткина 273, Новосибирск. Минимальная стоимость в отеле 'Гостевой Дом Sky Lounge guesthouse' за ночь: от 2366₽"
40,40,Хостел Sunny Day,"улица Урицкого, д.37, Новосибирск","Хостел Sunny Day по адресу улица Урицкого, д.37, Железнодорожный район, Новосибирск. Минимальная стоимость в отеле 'Хостел Sunny Day' за ночь: от 2079₽"
41,41,Отель Valeri,"Серебренниковская улица, д. 2/1, Новосибирск","Отель Valeri по адресу Серебренниковская улица, д. 2/1, Центральный район, Новосибирск. Минимальная стоимость в отеле 'Отель Valeri' за ночь: от 1893₽"
42,42,Отель Золотая Долина,"улица Ильича, д.10, Новосибирск","Отель Золотая Долина по адресу улица Ильича, д.10, Советский район, Новосибирск. Минимальная стоимость в отеле 'Отель Золотая Долина' за ночь: от 4101₽"
