,Unnamed: 0,name,address,description,longitude,latitude
132,132,Апарт-Отель Усадьба,"улица Александра Невского, д. 30, Новосибирск","Апарт-Отель Усадьба по адресу улица Александра Невского, д. 30, Новосибирск. Минимальная стоимость в отеле 'Апарт-Отель Усадьба' за ночь: от 4369₽",82.957557,55.079875
133,133,4 Cities,"58/1 Aeroport Street, Новосибирск","4 Cities по адресу 58/1 Aeroport Street, Новосибирск. Минимальная стоимость в отеле '4 Cities' за ночь: от 3202₽",82.92043,55.030204
134,134,"Элитная 2х квартира класса люкс с камином, джакузи и кондиционером на ул. Ядринцевская. Метро площадь Ленина","улица Ядринцевская 18, Новосибирск","Элитная 2х квартира класса люкс с камином, джакузи и кондиционером на ул. Ядринцевская. Метро площадь Ленина по адресу улица Ядринцевская 18, Новосибирск. Минимальная стоимость в отеле 'Элитная 2х квартира класса люкс с камином, джакузи и кондиционером на ул. Ядринцевская. Метро площадь Ленина' за ночь: от 11000₽",82.924697,55.033032
135,135,Alexandr House B&B,"ул. Далидовича, д. 25, Новосибирск","Alexandr House B&B по адресу ул. Далидовича, д. 25, Новосибирск. Минимальная стоимость в отеле 'Alexandr House B&B' за ночь: от 4063₽",82.956829,55.022159
136,136,Apartment on pr. Dzerzhinskogo,"pr. Dzerzhinskogo, 20/1, 630040 Novosibirsk, Russia, Новосибирск","Apartment on pr. Dzerzhinskogo по адресу pr. Dzerzhinskogo, 20/1, 630040 Novosibirsk, Russia, Новосибирск. Минимальная стоимость в отеле 'Apartment on pr. Dzerzhinskogo' за ночь: от 3090₽",82.970412,55.052407
137,137,Бурлинка,"Железнодорожная ул., д. 13, Новосибирск","Бурлинка по адресу Железнодорожная ул., д. 13, Новосибирск. Минимальная стоимость в отеле 'Бурлинка' за ночь: от 3202₽",82.901035,55.045991
138,138,Жилые помещения Soyuz +,"ul. Tulskaya 525/1 Novosibirsk 630000,ul. Tulskaya, Новосибирск","Жилые помещения Soyuz + по адресу ul. Tulskaya 525/1 Novosibirsk 630000,ul. Tulskaya, Новосибирск. Минимальная стоимость в отеле 'Жилые помещения Soyuz +' за ночь: от 3202₽",82.837964,54.949197
139,139,Хуторок,"ул. Бердская 97, Маслянино","Хуторок по адресу ул. Бердская 97, Маслянино. Минимальная стоимость в отеле 'Хуторок' за ночь: от 4220₽",84.22623,54.34363
140,140,Аппартаменты На Маркса 14/1-1,"проспект Карла Маркса, д.14, Новосибирск","Аппартаменты На Маркса 14/1-1 по адресу проспект Карла Маркса, д.14, Новосибирск. Минимальная стоимость в отеле 'Аппартаменты На Маркса 14/1-1' за ночь: от 1926₽",82.901457,54.985829
141,141,Отель (закрыт),"улица Русская, Новосибирск","Отель (закрыт) по адресу улица Русская, Новосибирск. Минимальная стоимость в отеле 'Отель (закрыт)' за ночь: от 3202₽",83.052554,54.845503
